user_id,item_id,rating
0,28,1
0,367,1
0,12,0
0,294,0
0,27,0
0,354,0
0,94,0
0,178,0
0,52,0
0,549,0
0,94,0
0,38,0
0,637,0
0,488,0
0,115,0
0,74,0
0,20,0
0,24,0
0,37,0
0,27,0
0,23,0
0,1,0
0,49,0
0,519,0
1,25,1
1,16,1
1,22,0
1,240,0
1,110,0
1,27,0
1,31,0
1,627,0
1,69,0
1,31,0
1,616,0
1,197,0
1,135,0
1,109,0
1,296,0
1,57,0
1,36,0
1,416,0
1,416,0
1,416,0
1,91,0
2,24,1
2,16,1
2,145,1
2,28,1
2,35,1
2,112,0
2,110,0
2,37,0
2,25,0
2,25,0
2,505,0
2,21,0
2,20,0
2,416,0
2,416,0
2,416,0
2,91,0
2,139,0
2,37,0
2,78,0
2,208,0
2,355,0
2,627,0
2,207,0
2,358,0
2,107,0
2,26,0
2,288,0
2,79,0
3,135,1
3,36,1
3,3,1
3,282,1
3,23,0
3,2,0
3,26,0
3,332,0
3,16,0
3,69,0
3,301,0
3,11,0
3,516,0
3,121,0
3,178,0
3,27,0
3,110,0
3,78,0
3,309,0
3,41,0
3,30,0
3,519,0
3,325,0
3,54,0
5,447,1
5,26,0
5,94,0
5,30,0
5,20,0
5,74,0
5,314,0
5,26,0
5,94,0
5,30,0
5,20,0
5,74,0
5,314,0
5,27,0
5,70,0
5,27,0
5,289,0
5,69,0
5,3,0
5,26,0
5,20,0
5,619,0
5,24,0
5,296,0
5,30,0
5,20,0
5,21,0
5,69,0
5,267,0
5,144,0
5,139,0
5,76,0
5,49,0
5,631,0
5,28,0
5,94,0
5,139,0
5,76,0
5,49,0
5,631,0
5,28,0
5,94,0
